cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM949,359.69,-942.13,-13.675,1.8281e-17,1,0,0,4.0519e-18,1.0657e-15,0
bBM950,161.91,-88.675,21.027,0.0032846,0.81101,0.0082735,0.029268,0.0011256,0.14459,0.0024439
bBM951,-819.96,132,21.063,0.96144,0.0058504,0.013262,0.0043311,0.0047819,0.0025245,0.0078135
bBM952,142.54,71.782,21.024,0.0020102,0.070906,0.0042373,0.029011,0.00086639,0.89189,0.0010795
bBM953,289,-500.5,16.544,4.9168e-07,0.99999,8.5459e-07,6.6016e-06,7.8459e-08,3.4127e-06,2.0573e-07
bBM954,301.79,-1378,-83.453,1.0133e-14,1,1.7755e-15,6.926e-17,1.2811e-15,3.2477e-16,0
bBM955,382,-753.36,4.7268,1.0023e-14,1,1.6649e-16,4.6144e-16,5.7002e-16,2.5088e-16,0
bBM956,362.24,-859.95,-2.3617,1.4596e-16,1,0,3.6863e-17,0,2.3959e-15,3.088e-17
bBM957,107.48,53.754,21.561,0.00892,0.28236,0.025708,0.067565,0.0042945,0.60611,0.0050455
bBM958,261.17,-331.9,18.858,4.7611e-05,0.99728,8.9223e-05,0.002176,9.3755e-06,0.00036828,3.0966e-05
bBM959,306.6,-435.51,16.973,9.2094e-07,0.99998,1.2325e-06,9.7644e-06,1.8534e-07,7.6398e-06,6.711e-07
bBM960,-108.02,150.07,22.155,0.053109,0.17094,0.16627,0.22177,0.042536,0.3068,0.038576
bBM961,-961.37,111.49,20.324,0.99581,0.00050214,0.0018386,0.00061337,0.00033629,0.00026469,0.00063482
bBM962,267.21,-451.58,17.52,3.9972e-06,0.99986,1.0309e-05,9.0444e-05,6.0605e-07,2.9757e-05,1.311e-06
bBM963,-1042.5,42.518,18.859,0.99987,1.9111e-05,5.0581e-05,1.4821e-05,9.5928e-06,1.6005e-05,1.6982e-05
bBM964,366.79,-670.06,10.603,1.3096e-12,1,1.3525e-12,8.9974e-12,3.1719e-13,7.8098e-12,2.8079e-12
bBM965,298.03,74.513,20.979,0.0021596,0.11834,0.0054314,0.048554,0.00074737,0.82364,0.0011233
bBM966,304.8,-437.66,16.615,5.4566e-07,0.99999,8.8276e-07,4.2399e-06,9.5151e-08,3.4536e-06,3.1185e-07
bBM967,156.22,-182.47,20.621,0.0028262,0.95656,0.0055736,0.017614,0.00073752,0.015546,0.0011376
bBM968,-1033.2,68.907,19.586,0.9994,8.0281e-05,0.00027441,6.5747e-05,4.7948e-05,4.4626e-05,8.9517e-05
bBM969,200.4,-174.62,20.727,0.0022404,0.94872,0.0029489,0.013488,0.00059509,0.030577,0.0014357
